sl no,education,experience,industry,skills,jobtitle,clust
10702,1477,116,29,14,1992,2
10703,70,1,29,7,4535,2
10704,537,120,29,28,8484,4
10706,537,112,29,23,5717,2
10707,556,101,0,0,1264,4
10708,44,11,16,42,6396,1
10709,537,131,29,14,7925,4
10710,537,104,49,11,14458,1
10711,594,9,38,32,1807,4
10712,537,5,5,36,4147,3
10713,537,117,29,14,12446,2
10714,117,133,54,0,7250,2
10715,1755,100,32,21,5601,2
10716,2115,100,52,6,2022,2
10717,70,87,6,23,3936,2
10718,1206,85,32,21,13069,1
10719,1754,117,42,25,3605,0
10720,1224,140,5,6,3257,4
10721,537,108,29,14,5422,3
10722,44,37,31,32,5176,3
10723,1778,2,8,26,2055,1
10724,537,5,7,29,8472,1
10725,537,109,29,14,5760,1
10726,537,9,29,11,5843,4
10727,1913,40,30,36,9988,2
10728,537,2,19,36,10984,3
10729,537,9,7,29,4804,3
10730,2112,123,5,40,11361,4
10731,537,88,32,28,15197,2
10732,70,85,8,10,1561,4
10733,537,117,29,26,13380,1
10734,651,0,29,14,5824,0
10735,537,3,7,29,5525,2
10736,537,88,29,11,5439,2
10737,66,109,36,7,11119,2
10738,714,12,56,36,57,2
10739,72,42,49,11,2277,2
10740,1754,117,29,17,5693,4
10741,84,86,48,36,5969,2
10742,1636,110,5,6,1324,2
10743,263,117,17,40,9432,2
10744,346,87,44,36,8577,4
10745,418,8,29,23,5785,1
10746,72,37,29,22,3110,1
10747,1864,0,29,14,14226,1
10748,2140,9,56,13,4352,2
10749,44,136,29,14,12125,2
10750,1265,0,58,44,8269,2
10751,46,109,29,14,833,2
10752,46,101,29,18,3786,3
10754,486,2,44,33,10041,2
10755,744,104,5,35,13452,0
10756,44,109,2,14,14815,4
10757,537,5,7,29,14728,0
10758,537,2,7,29,5496,4
10759,1991,110,32,14,12665,0
10760,1206,84,32,14,7121,1
10761,537,2,4,2,2442,1
10762,537,101,52,18,11782,1
10763,177,9,54,0,2543,2
10764,537,4,7,29,14654,2
10765,537,3,5,40,13131,2
10766,1826,40,29,18,4223,2
10767,675,2,40,33,9507,1
10768,1206,101,32,14,13064,2
10769,46,117,29,19,13730,2
10770,1135,11,38,33,8057,2
10771,1206,142,29,14,13621,2
10772,44,104,15,8,14790,4
10773,537,11,8,30,3485,3
10774,537,88,58,12,12422,4
10775,70,5,44,36,6620,4
10776,581,2,1,32,7164,1
10777,70,111,49,14,11624,2
10778,1879,103,29,13,5122,2
10779,57,38,49,11,11497,2
10780,755,2,16,42,12449,2
10781,818,85,1,32,9627,3
10782,2163,112,44,2,708,1
10783,70,86,29,22,3790,3
10784,46,102,29,28,14924,4
10785,42,101,29,14,12496,1
10786,1806,102,44,14,12185,2
10787,1754,62,8,14,672,2
10788,46,101,7,22,6765,2
10789,537,133,29,14,7680,2
10790,537,3,5,40,13211,2
10791,168,111,8,36,9866,2
10792,44,87,29,17,13700,2
10793,537,104,29,14,9646,1
10794,1206,8,32,14,11622,2
10795,46,142,29,14,12588,1
10796,72,2,7,29,13959,2
10797,106,123,54,0,7312,2
10798,537,24,53,35,11990,3
10799,1402,116,29,14,13592,4
10800,2278,5,7,29,7903,2
10801,1942,11,5,36,10230,1
10802,853,136,29,17,10406,1
10803,44,112,29,14,12529,2
10804,1224,127,29,18,717,1
10805,628,5,7,29,4520,1
10806,70,101,29,21,11197,2
10807,283,104,7,29,5840,4
10809,1544,19,56,14,12384,0
10810,597,1,7,29,2802,0
10812,537,0,7,29,5792,1
10813,537,88,29,13,2903,1
10814,72,9,29,14,14896,2
10815,263,9,58,12,13789,1
10816,549,85,29,11,9959,2
10817,72,109,19,36,5150,2
10818,2011,135,29,16,11076,2
10819,45,104,50,36,10085,2
10820,83,12,8,10,6442,2
10821,83,88,8,10,4946,2
10822,522,112,30,35,15305,0
10823,70,138,29,14,12517,2
10824,1504,114,29,21,15187,4
10825,56,88,8,10,9277,2
10826,530,19,29,11,6828,2
10827,70,111,56,36,8192,2
10828,821,2,8,10,14735,4
10829,537,3,8,10,6610,4
10830,1891,112,30,36,4357,2
10831,1,143,26,6,6583,3
10832,2004,85,37,11,11678,2
10833,70,112,56,14,11736,1
10834,44,12,8,36,14448,2
10835,1075,16,44,36,12813,2
10836,46,103,29,17,10387,3
10838,537,84,5,0,5258,1
10839,1943,133,28,6,12653,2
10840,537,118,29,14,10452,1
10841,70,5,7,29,13682,2
10842,70,110,29,14,6709,2
10843,44,110,29,21,563,1
10844,503,10,31,36,14101,0
10845,1266,135,29,17,2096,0
10846,537,3,8,10,881,2
10847,742,2,32,23,7074,1
10848,537,88,29,14,4950,3
10849,603,136,32,11,13388,2
10850,44,111,8,36,6974,2
10851,1728,117,13,38,9114,1
10852,1778,85,52,14,823,2
10853,1959,85,44,40,3837,4
10854,237,133,51,36,2962,1
10855,44,117,29,14,8672,3
10856,537,125,29,14,2152,1
10857,537,101,29,14,6405,4
10858,537,112,29,14,5861,2
10859,1,143,15,38,864,2
10860,46,88,29,14,2510,2
10861,1224,112,29,14,12527,2
10862,186,1,28,11,14229,4
10863,1754,116,42,14,3610,4
10864,55,88,29,1,12565,1
10865,1247,88,29,14,14237,1
10866,44,112,29,16,5109,1
10867,1204,102,13,35,13168,4
10868,1409,102,29,16,8838,2
10869,70,103,29,23,6333,1
10870,537,12,7,44,14287,2
10871,263,4,45,36,7621,2
10872,676,3,7,29,3709,1
10873,1928,87,41,6,14486,2
10874,70,136,8,10,7537,1
10875,70,86,16,40,4138,1
10876,1951,9,5,6,8425,1
10877,70,110,29,16,5108,4
10878,1206,85,32,14,13075,2
10879,42,104,29,14,5837,2
10880,44,110,0,21,593,2
10881,1754,125,29,14,13440,3
10883,1323,2,34,31,8936,3
10884,1778,9,29,29,3821,4
10885,324,88,0,0,848,1
10886,537,5,5,6,7715,1
10887,1754,137,52,14,11096,2
10888,262,84,29,36,4146,2
10889,534,8,49,11,4341,2
10890,537,104,29,11,8414,2
10891,1224,108,29,14,5539,2
10892,72,108,29,16,1629,2
10893,537,3,7,29,5361,1
10894,70,5,7,29,2899,1
10895,1205,1,49,11,9932,2
10896,537,109,29,14,6335,4
10897,157,16,29,14,6717,2
10898,106,117,0,0,7313,3
10899,1224,104,29,18,3326,1
10900,1014,19,44,36,10032,3
10901,1755,116,32,14,7576,2
10902,42,2,1,32,7670,1
10903,42,118,29,23,15326,2
10904,1144,1,29,14,7061,4
10905,1224,109,29,14,11316,4
10906,537,5,7,29,5301,1
10907,70,112,29,14,14566,1
10908,537,101,29,6,4432,0
10909,70,108,29,14,12234,2
10910,46,39,29,11,3813,2
10911,70,142,29,14,12588,2
10912,537,103,8,38,9558,2
10913,83,88,8,10,6430,4
10914,540,2,7,11,6445,3
10915,537,4,7,29,1408,1
10916,46,11,5,11,5000,2
10917,1754,132,29,14,6666,1
10918,44,116,29,14,14070,4
10919,547,10,44,33,9826,4
10920,1634,8,5,36,7611,2
10921,44,135,29,14,12530,0
10922,1200,86,29,14,14504,3
10923,1218,108,29,16,11473,3
10924,263,102,29,14,8648,4
10925,83,11,8,36,10091,2
10927,537,104,13,31,6881,4
10928,537,119,29,14,10528,2
10929,390,102,29,14,6206,4
10930,537,5,7,29,5289,2
10931,537,5,7,29,7812,2
10932,537,85,43,32,111,1
10933,44,120,29,14,6353,4
10934,72,108,29,17,10489,3
10935,70,117,29,14,6251,2
10936,1778,101,42,14,3005,2
10937,42,88,7,29,2610,1
10938,70,62,29,14,6199,2
10939,46,5,8,10,4013,3
10940,70,88,8,10,10066,3
10941,940,11,8,36,6378,4
10942,72,2,7,29,13958,2
10943,1164,3,34,1,422,2
10944,1778,86,29,29,2652,2
10945,1201,2,29,14,4542,3
10946,537,8,8,36,10053,2
10948,1297,104,29,14,7079,3
10949,537,136,29,17,8656,2
10950,601,33,5,36,14303,3
10951,229,110,40,11,9923,1
10952,1754,116,29,14,6666,0
10953,72,108,29,21,10259,3
10954,1778,9,29,24,13499,2
10955,537,10,49,11,6978,3
10957,44,86,32,21,577,2
10958,44,51,29,17,10441,4
10959,1788,108,29,14,11323,2
10960,46,10,8,36,8391,1
10961,537,110,29,14,6206,3
10962,1506,135,29,14,13509,4
10963,44,119,16,36,4738,4
10964,537,19,32,17,10439,2
10965,46,12,16,36,12715,1
10966,1205,1,49,11,5674,2
10967,537,12,38,0,319,4
10968,2052,3,38,33,8379,2
10969,1204,135,29,14,12175,4
10970,44,112,29,14,6269,2
10971,463,103,7,29,3065,4
10972,70,119,8,1,11576,2
10973,537,104,29,14,14305,4
10975,1822,108,29,1,3032,1
10976,1266,103,5,36,8352,2
10977,1778,110,29,6,3824,2
10978,1793,16,8,14,8090,2
10979,44,117,29,14,6354,1
10980,70,103,29,18,13292,1
10981,170,104,29,32,9358,1
10982,1778,9,29,14,11184,0
10983,70,85,41,36,10889,2
10984,1517,117,29,14,6714,2
10985,46,0,7,29,3987,2
10986,238,112,43,36,7445,4
10987,537,112,49,39,8515,2
10988,651,1,29,14,5811,3
10989,423,5,16,36,10935,4
10990,583,88,29,14,14693,0
10991,537,142,29,17,10479,4
10992,1512,117,29,28,12223,1
10993,760,84,16,42,9167,2
10994,715,84,7,29,10159,2
10996,638,133,13,35,5154,1
10997,44,117,29,22,11139,2
10998,2203,3,7,29,12457,2
10999,72,112,7,29,7323,4
11000,46,110,29,25,9744,2
11001,1779,101,29,14,12638,1
11002,84,135,32,11,12537,2
11003,1769,101,29,16,2685,4
11004,537,111,14,14,557,0
11005,72,101,32,14,12277,1
11006,1510,54,29,25,9263,0
11007,537,135,29,14,6247,1
11008,1247,85,29,28,3291,2
11009,70,40,8,1,14599,2
11010,1206,101,32,21,15187,2
11011,537,37,29,25,8680,0
11012,44,111,29,22,12321,2
11013,72,85,29,14,13028,2
11014,537,108,29,14,6192,3
11015,537,87,29,14,9649,2
11016,601,118,29,23,6982,2
11017,1641,133,22,35,7391,1
11018,70,104,29,14,9060,2
11019,46,124,29,17,10342,2
11020,168,101,32,36,10911,3
11021,46,19,29,14,2396,4
11022,70,136,29,16,8681,3
11023,537,24,29,25,4004,1
11024,185,127,29,11,5029,1
11025,169,101,32,32,7472,2
11026,1420,19,8,10,11521,2
11027,210,11,30,0,4407,2
11028,1238,40,29,29,5137,2
11029,391,101,32,21,12279,2
11031,1206,112,29,14,605,4
11032,537,120,38,18,13273,2
11033,537,16,52,18,7422,2
11034,563,127,32,32,5139,1
11035,937,16,42,0,4940,4
11036,70,111,29,22,13957,2
11037,70,16,29,16,10629,2
11038,1466,84,29,14,1169,1
11039,70,127,56,36,14300,1
11040,49,85,34,6,10213,2
11041,537,123,29,14,3993,2
11042,1844,104,29,18,7898,2
11043,44,102,29,26,1717,2
11044,72,110,56,26,10265,4
11045,488,112,16,36,10961,4
11046,1289,120,29,14,13724,1
11047,537,120,29,20,6238,3
11048,537,34,29,14,14984,1
11049,537,111,29,14,14017,2
11050,1792,108,29,23,2406,1
11051,417,104,29,1,11758,1
11052,537,136,29,17,10425,3
11053,2012,110,29,14,6772,2
11054,1226,43,29,14,11201,4
11055,1754,123,29,14,11315,2
11056,1206,112,29,14,2678,2
11057,537,123,29,14,14412,2
11058,1741,112,13,23,3231,2
11059,72,88,8,10,2793,3
11060,72,110,29,14,11157,4
11061,46,86,29,11,5670,2
11062,407,111,29,21,1396,4
11063,1895,127,52,18,14583,4
11064,72,104,29,11,887,3
11065,72,104,29,14,3315,2
11067,890,104,29,10,11420,1
11068,1754,103,29,14,12106,2
11069,696,125,49,11,5368,2
11070,72,37,8,36,1908,4
11071,70,118,29,14,8693,1
11072,1778,88,29,14,12109,1
11073,811,131,44,1,5031,3
11074,1205,39,29,43,13725,3
11075,72,127,29,1,3069,1
11076,467,108,29,14,1985,2
11077,70,88,29,14,4544,0
11078,1471,127,29,23,4605,3
11079,72,139,29,28,2144,2
11080,1206,101,32,1,3015,2
11081,70,135,29,22,6918,1
11082,1363,133,29,1,7365,2
11083,1267,88,29,17,9813,3
11084,537,136,52,2,10663,4
11085,1805,115,44,1,1775,1
11086,1424,87,29,14,12185,2
11087,676,127,29,17,5894,2
11088,1267,21,32,28,9253,1
11089,1225,112,29,14,8491,1
11090,1205,5,29,24,12164,2
11091,1246,102,29,14,10547,2
11092,46,118,29,15,6206,2
11093,1384,55,32,28,2491,1
11094,169,85,32,36,7275,2
11095,70,43,7,29,7793,2
11096,70,116,54,39,6712,4
11097,1754,17,29,14,3324,2
11098,537,111,29,14,1976,2
11099,1787,16,29,14,12115,1
11100,537,133,29,14,8506,4
11101,70,136,29,5,6782,2
11102,537,111,8,0,1563,4
11103,70,112,29,1,8376,3
11104,263,136,29,14,5551,2
11105,70,17,37,35,11541,2
11106,1755,142,56,24,9691,2
11107,1278,110,8,14,3302,1
11108,1225,47,7,29,5180,2
11109,1206,86,32,21,9358,1
11110,537,142,29,14,13640,2
11111,1321,12,29,28,12360,2
11112,1754,133,29,14,5692,2
11113,75,101,32,32,3433,0
11114,1205,104,29,14,9342,2
11115,1765,135,8,14,1931,2
11116,1754,124,42,23,9545,2
11117,455,5,29,14,4943,4
11118,1205,135,29,14,3344,4
11119,918,127,38,36,10827,0
11120,1740,16,29,14,1937,4
11121,263,136,29,14,13107,1
11122,452,59,29,14,3466,2
11123,155,37,38,14,12098,1
11124,44,103,29,14,13292,3
11125,168,135,29,36,7414,4
11126,1205,110,26,14,4698,2
11127,1767,102,29,14,12110,1
11128,70,87,5,36,1865,1
11129,1224,120,29,14,6476,1
11130,70,104,50,14,614,4
11131,1291,16,29,14,5112,0
11132,262,133,29,29,1733,2
11133,70,123,29,22,12493,4
11134,44,18,28,22,8118,2
11135,812,124,29,26,1950,4
11136,46,120,32,34,12823,2
11137,46,112,29,39,13162,1
11138,1754,134,42,23,5617,4
11139,1740,86,29,24,12350,4
11140,169,86,50,32,11489,2
11141,169,112,8,10,1682,4
11142,44,111,29,14,2672,1
11143,537,112,29,16,3100,1
11144,537,141,29,14,5860,2
11145,125,112,58,0,876,2
11146,1847,104,29,18,159,2
11147,1205,85,32,32,10603,2
11148,169,101,52,11,8928,2
11149,1778,64,29,23,13970,0
11150,75,88,29,17,3914,4
11151,70,17,37,35,11542,1
11152,144,102,34,1,7890,2
11153,391,101,32,14,6837,2
11154,1509,112,29,6,12469,2
11155,793,116,29,14,14083,2
11156,42,24,43,33,15101,1
11157,44,35,48,36,1136,0
11158,1778,132,29,14,1130,2
11159,72,104,29,5,12554,2
11160,1754,125,29,14,2402,3
11161,70,108,29,14,13434,0
11162,70,51,29,17,3913,4
11163,1569,81,42,43,9512,2
11164,70,27,8,36,10012,2
11165,46,39,29,14,6195,4
11166,1554,142,29,36,13154,1
11167,1499,120,44,17,6741,1
11168,537,124,29,38,2323,4
11169,1765,139,29,16,3086,4
11170,1754,17,42,14,13374,1
11171,72,104,29,14,4555,2
11172,537,133,1,32,2766,4
11173,46,142,32,14,3893,1
11174,169,84,32,32,9382,2
11175,1830,112,29,14,1965,4
11176,70,118,29,23,13009,1
11177,70,127,29,14,7209,1
11178,889,17,8,14,9543,1
11179,72,117,0,36,7201,2
11180,1267,101,29,25,9476,2
11181,70,51,29,43,12409,2
11182,72,59,29,17,13629,3
11183,158,84,42,6,3867,1
11184,44,51,29,17,3913,1
11185,1224,104,29,17,3630,2
11186,537,120,29,14,6369,3
11187,1205,22,30,35,14278,1
11188,1206,110,32,14,11226,2
11189,70,112,29,0,7493,4
11190,537,104,29,14,5536,2
11191,1206,123,32,14,5222,2
11192,1206,85,32,21,556,2
11193,169,101,32,36,1789,2
11194,72,85,29,21,15190,2
11195,70,127,44,14,12569,2
11196,1832,108,52,18,11863,1
11197,168,120,54,39,11230,2
11198,537,19,29,14,12394,1
11199,1388,22,56,32,7263,2
11200,2145,37,30,35,3855,1
11201,46,110,29,14,4324,0
11202,70,51,29,22,2392,0
11203,70,136,8,36,5184,3
11204,228,134,8,11,6647,3
11205,1503,100,44,1,1456,4
11206,72,101,32,32,4883,2
11207,72,104,29,14,3315,1
11208,72,11,0,40,909,1
11209,1200,131,29,13,8121,3
11210,1754,133,42,23,11945,3
11211,169,11,32,36,3918,3
11212,72,87,1,36,1845,4
11213,537,136,29,11,12812,2
11214,1754,19,29,14,12113,0
11215,537,110,29,14,10395,3
11216,262,19,29,14,13224,3
11217,1398,68,44,35,4788,2
11218,70,135,29,14,7247,4
11219,537,110,29,14,6234,2
11220,42,117,29,14,8526,2
11221,70,43,29,19,7136,3
11222,1205,85,32,14,4592,2
11223,46,136,13,11,1627,1
11224,168,112,32,32,6645,2
11225,1754,135,29,11,13692,2
11226,1298,116,29,25,3333,4
11227,169,112,32,28,11647,2
11228,1246,127,29,14,8424,2
11229,42,19,52,18,9234,2
11230,889,19,8,23,2493,2
11231,70,11,32,32,10598,4
11232,1486,142,29,14,14014,4
11233,1756,101,32,21,5594,2
11234,1205,8,32,17,12404,2
11235,1205,123,29,14,11465,4
11236,1959,16,13,36,11014,4
11237,1754,87,8,14,9863,1
11238,537,136,52,36,1845,4
11239,46,120,32,36,12535,4
11240,1739,86,29,14,12108,2
11241,72,42,29,14,9235,2
11242,70,87,48,14,557,1
11243,1754,16,29,22,13252,4
11244,1739,135,29,36,1788,2
11245,169,85,32,36,2315,3
11246,1206,85,32,21,15187,2
11247,1754,125,42,14,8167,0
11248,1717,16,13,6,11297,4
11249,1004,112,44,36,12543,1
11250,1266,102,51,36,7507,1
11251,70,135,29,14,7172,2
11252,44,142,29,14,5530,4
11253,1206,101,32,21,583,4
11254,537,127,29,14,14386,1
11255,70,120,29,14,13668,0
11256,1206,88,32,14,12150,2
11257,46,86,29,14,3530,3
11258,372,127,56,1,6755,1
11259,169,101,49,32,2180,2
11260,139,115,42,1,11285,2
11261,290,142,29,36,9204,4
11262,1401,85,38,14,12185,4
11263,1290,104,29,14,5745,1
11264,1754,62,29,16,13216,3
11265,1499,127,44,16,6756,2
11266,537,118,29,14,2676,2
11267,1205,109,29,14,11465,2
11268,1225,86,32,21,578,4
11269,243,134,29,32,4351,4
11270,390,104,29,23,3319,3
11271,169,101,32,36,2311,1
11272,1754,140,29,20,12408,4
11273,1206,11,32,14,11748,3
11274,382,104,29,1,9816,1
11275,46,101,29,22,8194,4
11276,2011,112,29,23,10401,0
11277,537,132,8,14,14647,4
11278,537,118,8,14,6658,0
11279,57,85,32,32,2281,1
11280,70,104,29,14,5951,2
11281,1754,17,42,23,9552,4
11282,72,10,29,14,3334,3
11283,46,102,29,25,14113,2
11284,537,127,57,35,4437,2
11285,1778,11,29,14,11748,4
11286,1205,112,28,13,14284,2
11287,2069,19,58,37,1588,4
11288,676,101,49,36,9846,2
11289,1206,88,29,14,4552,0
11290,261,118,29,14,5409,2
11291,537,112,29,14,8382,0
11292,290,140,29,14,13632,4
11293,1818,110,29,16,6809,0
11294,1205,10,29,28,12167,2
11295,1205,112,29,22,12314,1
11296,537,119,29,14,6866,2
11297,46,87,32,32,11518,4
11298,537,102,43,28,6984,2
11299,72,127,43,1,2425,2
11300,1229,109,29,14,11359,2
11301,106,136,0,0,13097,3
11302,237,108,29,29,1731,4
11303,1362,133,29,11,11725,3
11304,231,134,8,11,5519,2
11305,44,46,29,23,289,2
11306,72,137,29,14,3891,4
11307,1046,67,21,36,15105,1
11308,1778,124,29,14,11317,3
11309,70,112,29,14,14953,2
11310,714,86,40,36,1845,1
11311,2018,116,29,17,13538,1
11312,675,102,8,36,14574,1
11313,1994,54,29,18,169,2
11314,831,125,8,29,9298,0
11315,1994,101,29,14,9488,2
11316,2156,86,29,14,9330,1
11317,831,133,29,14,6820,1
11318,701,86,13,32,13756,1
11319,675,125,29,26,7454,4
11320,714,85,7,29,8758,4
11321,2055,5,38,33,7763,1
11322,44,123,29,27,6137,2
11323,1994,125,29,14,13590,4
11324,675,125,29,14,11335,4
11325,675,87,29,5,4845,3
11326,2053,5,38,29,7772,3
11327,44,101,29,14,14008,0
11328,1994,115,29,14,9488,2
11329,1994,123,29,14,11342,2
11330,2018,101,56,16,508,4
11331,2018,101,28,13,2863,4
11332,1251,104,29,14,3799,2
11333,2018,86,29,14,3774,1
11334,1994,125,29,14,664,0
11335,714,117,8,30,2592,2
11336,701,86,29,36,3445,4
11337,962,104,29,0,285,1
11338,1994,109,0,14,11767,1
11339,714,10,29,14,3163,2
11340,675,102,8,10,2785,4
11341,714,8,30,40,6941,4
11342,718,12,30,32,7669,1
11343,1994,112,17,14,6798,4
11344,2018,135,29,28,14027,2
11345,2018,107,29,14,10571,4
11346,704,104,29,32,2976,3
11347,831,88,29,36,10726,3
11348,714,9,29,30,2610,1
11349,1994,86,19,35,4717,3
11350,718,136,29,36,7371,1
11351,831,117,17,14,6740,1
11352,2018,37,29,13,9279,3
11353,44,127,29,23,6309,1
11354,2018,101,56,23,507,4
11355,831,127,29,36,1514,3
11356,1994,101,54,14,11233,3
11357,44,12,49,35,12025,1
11358,537,110,58,12,10244,1
11359,1994,16,29,14,2985,1
11360,718,86,29,36,1789,4
11361,675,88,29,24,11662,1
11362,714,104,54,11,3212,2
11363,831,85,29,16,1457,4
11364,44,1,7,29,7770,1
11365,675,102,29,14,15243,3
11366,1994,104,29,14,15262,1
11367,831,108,29,23,1952,3
11368,718,17,8,36,15173,2
11369,1994,125,29,14,7118,3
11370,1994,101,29,14,14499,2
11371,2018,89,29,14,12293,3
11372,714,86,44,36,10817,1
11373,1994,123,16,14,13722,3
11374,44,24,29,24,6469,3
11375,1994,88,7,24,384,1
11376,1994,88,29,14,12136,2
11377,2048,118,56,13,5606,4
11378,675,11,8,29,9871,1
11379,714,86,54,39,11103,3
11380,701,16,0,14,6724,1
11381,675,125,43,22,11827,1
11382,704,103,29,36,11015,1
11383,2018,110,29,17,10428,2
11384,675,116,50,36,9976,2
11385,791,86,16,30,2589,3
11386,831,117,17,14,6740,4
11387,2018,85,29,14,11748,2
11388,2018,88,29,14,14922,2
11389,1988,88,16,14,3736,4
11390,133,135,28,1,1914,2
11391,704,88,29,32,11334,1
11392,714,88,16,42,14617,4
11393,718,84,8,36,15135,1
11394,1994,112,49,14,1597,1
11395,2018,116,29,14,12185,4
11396,714,107,54,32,3365,4
11397,1994,133,17,14,709,4
11398,675,123,29,24,11664,1
11399,675,125,29,29,14692,3
11400,675,11,29,0,6594,1
11401,701,87,29,32,8242,3
11402,2270,5,7,29,15063,1
11403,714,85,29,13,4124,2
11404,1994,87,29,14,12185,4
11405,701,19,28,36,11177,2
11406,714,10,29,22,11720,4
11407,701,84,17,36,3836,2
11408,1994,116,29,18,2953,3
11409,675,12,29,4,11130,1
11410,2018,117,29,6,7703,4
11411,44,127,28,27,6221,1
11412,2018,125,29,13,4247,4
11413,675,104,16,42,5576,1
11414,704,104,29,36,5586,4
11415,2018,138,29,17,13538,1
11416,714,11,32,24,9694,4
11417,2018,119,29,14,11768,4
11418,701,124,17,14,9545,2
11419,44,119,14,17,10346,4
11420,2005,19,29,36,7254,1
11421,2018,101,17,14,5531,4
11422,2018,86,17,14,11734,4
11423,976,86,29,0,9026,2
11424,1994,108,29,14,12134,4
11425,675,19,29,23,5963,4
11426,262,5,7,29,2868,3
11427,1994,140,29,27,11598,3
11428,2018,115,29,14,13298,1
11429,675,104,8,14,669,1
11430,675,117,29,24,11662,2
11431,1994,125,29,14,675,2
11432,701,112,30,36,12677,4
11433,1994,123,29,14,598,1
11434,2018,88,29,14,3139,1
11435,44,5,7,29,2816,4
11436,1994,86,54,14,4540,2
11437,675,112,29,23,6802,2
11438,537,103,29,1,3015,1
11439,675,117,29,14,6822,3
11440,2018,107,29,22,1447,2
11441,1994,102,29,24,1973,3
11442,1994,112,29,24,9708,3
11443,2018,107,29,14,11286,3
11444,44,5,7,29,7772,4
11445,675,101,42,32,9626,3
11446,1994,117,29,27,13366,2
11447,44,86,8,1,3016,3
11448,675,104,8,36,9472,1
11449,2018,102,29,33,2377,3
11450,44,42,28,18,13822,1
11451,44,5,7,29,9284,3
11452,537,9,38,33,1577,4
11453,2059,5,7,29,7763,0
11454,1994,123,52,14,9537,2
11455,44,120,29,18,13623,1
11456,976,100,54,0,4253,2
11457,2018,101,29,14,11736,2
11458,2018,131,8,14,13192,0
11459,1994,112,29,23,15198,2
11460,2018,101,29,14,10098,3
11461,2018,10,29,16,3087,1
11462,2018,85,29,14,9619,2
11463,2018,131,8,15,13726,2
11464,537,110,58,12,1047,1
11465,1994,117,17,23,12416,2
11466,675,17,29,14,13732,1
11467,714,86,29,36,1807,2
11468,704,88,13,0,6521,2
11469,831,100,8,36,981,1
11470,1994,86,7,39,10400,1
11471,2222,86,54,31,9885,2
11472,1994,125,29,14,10583,4
11473,1994,102,29,14,12969,2
11474,2018,11,29,14,11750,1
11475,1994,127,29,14,14097,2
11476,2018,1,8,14,642,2
11477,1994,104,8,1,15147,2
11478,675,116,29,19,5962,2
11479,675,111,52,18,2954,0
11480,675,112,54,29,3491,4
11481,1988,11,29,14,6903,2
11482,1994,123,29,14,2995,1
11483,2018,10,29,14,5585,2
11484,2018,86,29,14,13606,1
11485,675,88,43,18,12055,2
11486,1994,116,29,14,6324,4
11487,962,86,29,0,320,0
11488,701,85,29,29,11205,4
11489,1994,131,29,22,11141,1
11490,714,107,57,8,3700,2
11491,675,104,29,36,6669,2
11492,1994,116,29,14,2993,1
11493,675,110,43,31,15222,2
11494,2013,12,29,23,9604,3
11495,831,87,29,23,1951,1
11496,675,88,43,5,6520,2
11497,701,133,56,29,13158,2
11498,1994,88,5,6,6761,2
11499,675,104,42,38,3821,4
11500,718,85,37,36,1845,2
11501,1994,88,29,18,12104,1
11502,2018,101,29,14,11143,3
11503,701,84,54,11,5095,2
11504,718,87,29,32,7586,2
11505,44,12,7,29,14381,4
11506,675,87,8,29,1009,2
11507,2018,88,29,14,4597,3
11508,1994,104,29,28,12861,3
11509,831,88,29,23,1762,2
11510,1994,133,29,14,6075,4
11511,1994,123,29,14,11461,2
11512,1994,112,54,14,12497,4
11513,44,1,7,29,7770,3
11514,1994,86,29,14,12117,4
11515,718,86,8,36,15111,0
11516,1994,86,29,14,12664,2
11517,714,88,16,42,4806,1
11518,1994,108,29,28,9374,1
11519,2018,102,29,27,11894,4
11520,1994,17,29,14,4764,1
11521,2018,88,29,14,15187,4
11522,718,85,8,36,15145,4
11523,537,85,0,29,7141,3
11524,1994,125,52,14,12160,3
11525,831,9,8,36,10873,1
11526,1200,109,29,16,2936,4
11527,44,108,29,14,2218,2
11528,44,5,7,29,14663,2
11529,714,86,16,42,1206,2
11530,2018,86,29,14,12185,4
11531,1994,64,29,14,709,2
11532,831,16,29,39,7193,1
11533,675,125,29,22,7462,2
11534,1994,88,29,14,11347,4
11535,1994,123,29,14,11604,2
11536,1087,119,29,22,2300,1
11537,2018,1,29,14,3129,1
11538,2018,131,56,16,2538,3
11539,1994,100,54,14,4430,3
11540,704,117,1,32,4865,1
11541,1994,86,54,14,6307,3
11542,2037,125,29,22,13116,2
11543,675,118,42,0,7021,1
11544,537,119,29,14,7901,3
11545,714,84,58,29,6592,3
11546,718,86,28,36,7589,2
11547,962,100,29,0,369,2
11548,44,24,28,24,9686,1
11549,1994,108,29,14,11438,2
11550,2018,84,29,14,2996,1
11551,1988,108,29,14,1977,4
11552,1994,88,29,14,9258,2
11553,1217,142,29,2,12098,1
11554,831,88,29,14,9502,2
11555,2053,5,38,29,7772,0
11556,1148,124,29,19,2077,1
11557,714,8,29,11,6644,4
11558,969,8,29,0,367,0
11559,675,133,29,29,8567,4
11560,262,112,29,28,10181,2
11561,675,104,29,14,9358,1
11562,44,136,29,27,6283,3
11563,1994,86,32,14,10675,1
11564,962,8,29,0,509,4
11565,718,12,13,36,4209,1
11566,718,109,29,32,301,3
11567,1994,136,54,14,12393,4
11568,44,102,29,14,5531,2
11569,701,111,19,36,15283,2
11570,1994,17,29,23,7451,4
